tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38180,8360,7478599,140165,2017-08-01 16:23:56
892177421306343426,32743,6176,7478599,140165,2017-08-01 00:17:27
891815181378084864,24654,4086,7478599,140165,2017-07-31 00:18:03
891689557279858688,41510,8504,7478599,140165,2017-07-30 15:58:51
891327558926688256,39693,9199,7478599,140165,2017-07-29 16:00:24
891087950875897856,19926,3062,7478599,140165,2017-07-29 00:08:17
890971913173991426,11650,2028,7478598,140165,2017-07-28 16:27:12
890729181411237888,64403,18545,7479201,140169,2017-07-28 00:22:40
890609185150312448,27377,4201,7478598,140165,2017-07-27 16:25:51
890240255349198849,31421,7260,7478598,140165,2017-07-26 15:59:51
890006608113172480,30207,7213,7478598,140165,2017-07-26 00:31:25
889880896479866881,27377,4893,7478598,140165,2017-07-25 16:11:53
889665388333682689,47386,9882,7478598,140165,2017-07-25 01:55:32
889638837579907072,26750,4471,7478598,140165,2017-07-25 00:10:02
889531135344209921,14883,2208,7478598,140165,2017-07-24 17:02:04
889278841981685760,24871,5283,7478598,140165,2017-07-24 00:19:32
888917238123831296,28661,4419,7478598,140165,2017-07-23 00:22:39
888804989199671297,25174,4224,7478598,140165,2017-07-22 16:56:37
888554962724278272,19531,3491,7478598,140165,2017-07-22 00:23:06
888078434458587136,21430,3439,7478598,140165,2017-07-20 16:49:33
887705289381826560,29725,5299,7478598,140165,2017-07-19 16:06:48
887517139158093824,45576,11472,7478598,140165,2017-07-19 03:39:09
887473957103951883,68028,17868,7478598,140165,2017-07-19 00:47:34
887343217045368832,33175,10235,7478598,140165,2017-07-18 16:08:03
887101392804085760,30109,5868,7478598,140165,2017-07-18 00:07:08
886983233522544640,34630,7643,7478598,140165,2017-07-17 16:17:36
886736880519319552,11873,3227,7478598,140165,2017-07-16 23:58:41
886680336477933568,22103,4393,7478598,140165,2017-07-16 20:14:00
886366144734445568,20877,3146,7478598,140165,2017-07-15 23:25:31
886267009285017600,116,4,7478598,140165,2017-07-15 16:51:35
886258384151887873,27569,6184,7478598,140165,2017-07-15 16:17:19
886054160059072513,0,105,7478598,140165,2017-07-15 02:45:48
885984800019947520,32172,6682,7478598,140165,2017-07-14 22:10:11
885528943205470208,35446,6328,7478598,140165,2017-07-13 15:58:47
885518971528720385,20121,3702,7478598,140165,2017-07-13 15:19:09
885311592912609280,0,18265,7478598,140165,2017-07-13 01:35:06
885167619883638784,21593,4309,7478598,140165,2017-07-12 16:03:00
884925521741709313,76315,17991,7478598,140165,2017-07-12 00:01:00
884876753390489601,27501,5557,7478598,140165,2017-07-11 20:47:12
884562892145688576,23946,4656,7478598,140165,2017-07-11 00:00:02
884441805382717440,26593,5566,7479201,140169,2017-07-10 15:58:53
884247878851493888,71940,20140,7478598,140165,2017-07-10 03:08:17
884162670584377345,20067,2942,7478598,140165,2017-07-09 21:29:42
883838122936631299,21576,3392,7478598,140165,2017-07-09 00:00:04
883482846933004288,45239,9790,7478598,140165,2017-07-08 00:28:19
883360690899218434,22349,3641,7478598,140165,2017-07-07 16:22:55
883117836046086144,36648,6571,7478598,140165,2017-07-07 00:17:54
882992080364220416,23615,3863,7478598,140165,2017-07-06 15:58:11
882762694511734784,27894,4842,7478598,140165,2017-07-06 00:46:41
882627270321602560,27510,5995,7478598,140165,2017-07-05 15:48:34
882268110199369728,44303,11420,7478598,140165,2017-07-04 16:01:23
882045870035918850,28929,4896,7478598,140165,2017-07-04 01:18:17
881906580714921986,23972,3344,7478598,140165,2017-07-03 16:04:48
881666595344535552,49856,10501,7478598,140165,2017-07-03 00:11:11
881633300179243008,124,7,7478598,140165,2017-07-02 21:58:53
881536004380872706,48720,15702,7478598,140165,2017-07-02 15:32:16
881268444196462592,22751,5091,7478598,140165,2017-07-01 21:49:04
880935762899988482,16767,2743,7478598,140165,2017-06-30 23:47:07
880872448815771648,20967,3756,7478598,140165,2017-06-30 19:35:32
880465832366813184,28113,6179,7478598,140165,2017-06-29 16:39:47
880221127280381952,26675,4155,7478598,140165,2017-06-29 00:27:25
880095782870896641,27244,4293,7478598,140165,2017-06-28 16:09:20
879862464715927552,22009,3446,7478598,140165,2017-06-28 00:42:13
879674319642796034,308,10,7478598,140165,2017-06-27 12:14:36
879492040517615616,23091,3140,7478598,140165,2017-06-27 00:10:17
879415818425184262,104361,43595,7478598,140165,2017-06-26 19:07:24
879376492567855104,16542,3072,7478598,140165,2017-06-26 16:31:08
879130579576475649,0,6730,7478598,140165,2017-06-26 00:13:58
879050749262655488,22244,4653,7478598,140165,2017-06-25 18:56:45
879008229531029506,18719,2661,7478598,140165,2017-06-25 16:07:47
878776093423087618,19137,4076,7478598,140165,2017-06-25 00:45:22
878604707211726852,29857,7108,7478598,140165,2017-06-24 13:24:20
878404777348136964,0,1270,7478598,140165,2017-06-24 00:09:53
878316110768087041,0,6565,7478598,140165,2017-06-23 18:17:33
878281511006478336,7644,1270,7478598,140165,2017-06-23 16:00:04
878057613040115712,41453,6730,7478598,140165,2017-06-23 01:10:23
877736472329191424,78687,18845,7478598,140165,2017-06-22 03:54:17
877611172832227328,0,80,7478598,140165,2017-06-21 19:36:23
877556246731214848,22421,3762,7478598,140165,2017-06-21 15:58:08
877316821321428993,27008,5110,7478598,140165,2017-06-21 00:06:44
877201837425926144,26760,5516,7478598,140165,2017-06-20 16:29:50
876838120628539392,20403,3302,7478598,140165,2017-06-19 16:24:33
876537666061221889,23190,4577,7478598,140165,2017-06-18 20:30:39
876484053909872640,18507,2368,7478598,140165,2017-06-18 16:57:37
876120275196170240,27545,4637,7478598,140165,2017-06-17 16:52:05
875747767867523072,24859,4246,7478598,140165,2017-06-16 16:11:53
875144289856114688,21636,4874,7478598,140165,2017-06-15 00:13:52
875097192612077568,27074,5986,7478598,140165,2017-06-14 21:06:43
875021211251597312,25151,4669,7478598,140165,2017-06-14 16:04:48
874680097055178752,27480,4601,7478598,140165,2017-06-13 17:29:20
874434818259525634,0,14597,7478598,140165,2017-06-13 01:14:41
874296783580663808,25743,4074,7478598,140165,2017-06-12 16:06:11
874057562936811520,22378,3922,7478598,140165,2017-06-12 00:15:36
874012996292530176,34185,10327,7478598,140165,2017-06-11 21:18:31
873580283840344065,23918,3912,7479201,140169,2017-06-10 16:39:04
873337748698140672,0,1576,7478598,140165,2017-06-10 00:35:19
873213775632977920,7146,1576,7478598,140165,2017-06-09 16:22:42
872967104147763200,27063,5368,7478598,140165,2017-06-09 00:02:31
872820683541237760,14556,3672,7478598,140165,2017-06-08 14:20:41
872620804844003328,20579,3675,7478598,140165,2017-06-08 01:06:27
872486979161796608,40250,8965,7478598,140165,2017-06-07 16:14:40
872261713294495745,33859,6288,7478598,140165,2017-06-07 01:19:32
872122724285648897,34099,8082,7478598,140165,2017-06-06 16:07:15
